시도,수요기관,계약명,계약일,금액,업체명,구분,태그
경북,경상북도교육청 경상북도울진교육지원청,2020년 시설지원담당 오토캐드 구입,2020-02-21,6996000,주식회사 바이탈컴,물품,AutoCAD
경기,경기도교육청 경기도화성오산교육지원청,엑셀 프로그램(MS 오피스365) 구입,2020-02-25,1001880,주식회사 보아시스템,물품,MS Office
부산,부산광역시교육청,2020년 Microsoft 연간 라이선스 구매,2020-03-02,2628780000,주식회사 드림아이티,물품,MS Office
경기,경기도교육청 경기도화성오산교육지원청,엑셀 프로그램(MS 오피스 365) 추가 구입,2020-03-27,66790,주식회사 보아시스템,물품,MS Office
경남,경상남도교육청,2020. 온라인뉴스활용교육(e-NIE) 프로그램 지원 용역,2020-02-26,149500000,주식회사 비큐에이아이 (BECU AI Inc.),기술용역,e-NIE
전남,전라남도교육청,사립유치원 정품소프트웨어(MS-OVS-ES) 연간 사용권 구입,2020-04-28,15716800,(주)닷넷소프트,물품,MS Office
전남,전라남도교육청,2020. 정품소프트웨어(MS OVS-ES) 구매,2020-05-25,2008449800,(주)닷넷소프트,물품,MS Office
충남,충청남도교육청,2020년 정품소프트웨어(MS OVS-ES) 라이선스 구매,2020-06-04,1977000000,(주)포스텍,물품,MS Office
경기,경기도교육청,2020년 직업계고등학교 MS제품군 구입,2020-06-09,598000000,주식회사 보아시스템,물품,MS Office
광주,광주광역시교육청,"2020년도 업무용 정품 소프트웨어(MS OVS-ES,한글 SLA) 사용권 구매",2020-06-16,2430000000,(주)닷넷소프트,물품,MS Office
인천,인천광역시교육청,업무용 소프트웨어(MS 제품군) 라이선스 구매,2020-06-16,2553368420,주식회사 소넥스,물품,MS Office
인천,인천광역시교육청,업무용 소프트웨어(한컴오피스 한글) 라이선스 구매,2020-06-18,1740000000,(주)와이즈코아,물품,한컴오피스
제주,제주특별자치도교육청,"2020학년도 아우름정보화 멀티탬,웹캠,한컴오피스2020 구입",2020-08-24,10956500,주식회사 유비커널,물품,한컴오피스
제주,제주특별자치도교육청,"2020학년도 아우름정보화 멀티탬,웹캠,한컴오피스2020 구입",2020-08-31,11217530,주식회사 유비커널,물품,한컴오피스
경기,경기도교육청 경기도가평교육지원청,교육시설팀 소프트웨어(AUTOCAD) 라이선스 구입,2020-09-04,1900000,주식회사 오렌지테크,물품,AutoCAD
경기,경기도교육청 경기도가평교육지원청,2020 보안강화를 위한 웹호스팅교 홈페이지 어도비 플래시 제거 용역,2020-07-23,2145000,(주)케이시크,기술용역,Adobe
충남,충청남도교육청,충남교육청 통합전자도서관 전자자료(학술DB DBpia) 구독,2020-10-27,12000000,주식회사 누리미디어,물품,DBpia
경기,경기도교육청 경기도수원교육지원청,교육시설과 AutoCAD 구매,2020-11-16,7920000,줌인테크,물품,AutoCAD
경기,경기도교육청 경기도양평교육지원청,양평아이(AI)창작소 기자재 구입(EV3),2020-11-18,8695000,(주) 핸즈온테크놀러지,물품,레고 에듀케이션
서울,서울특별시교육청 서울특별시강남서초교육지원청,"초등교육지원과 마이크로비트와 함께하는 코딩놀이터 운영물품(큐빗,핸들빗) 구입",,4636000,주식회사 앱넷,물품,마이크로비트
세종,세종특별자치시교육청,2020년 어도비 소프트웨어 사용권 구매,2020-11-26,13225000,주식회사데이타큐브,물품,Adobe
경남,경상남도교육청,2021년도 업무용 소프트웨어(MS OVS-ES) 사용권 구매,2020-12-09,3005970000,(주)제이소프트기술,물품,MS Office
대구,대구광역시교육청,청내 사무용 소프트웨어(한컴오피스) 구매,2020-12-21,11368500,(주)젠소프트,물품,한컴오피스
인천,인천광역시교육청,중등 교육전문직원 원격 Zoom 연수 라이브방송 용역,2020-12-03,2000000,주식회사 클라스보쇼,기술용역,Zoom
서울,서울특별시교육청 서울특별시성북강북교육지원청,2021년 평생교육건강과 스마트학톡(e알리미)연간사용 용역,2020-12-16,660000,주식회사 이웃닷컴,기술용역,e알리미
충남,충청남도교육청,사립유치원 K-에듀파인 사용을 위한 MS Office 구매,2021-01-14,11114200,(주)포스텍,물품,MS Office
충남,충청남도교육청,사립유치원 K-에듀파인 사용을 위한 한컴오피스 한글 구매,2021-01-14,10872640,(주)위포,물품,한컴오피스
경기,경기도교육청 경기도양평교육지원청,양평아이(AI)창작소 기자재(스파이크프라임) 구입,2021-01-26,9996000,신원경영 주식회사,물품,레고 에듀케이션
강원,강원도교육청,2021년도 도면설계(AUTOCAD) 프로그램 연간 임대 라이선스 구입,2021-02-10,21945000,그루네트웍스,물품,AutoCAD
제주,제주특별자치도교육청,"2021년 정품소프트웨어(한글, MS-오피스) 라이선스 구매",2021-03-26,866668000,(주)제이아이티,물품,MS Office|한컴오피스
경남,경상남도교육청,2021. 온라인뉴스활용교육(e-NIE) 프로그램 지원 용역,2021-02-24,149300000,주식회사 비큐에이아이 (BECU AI Inc.),기술용역,e-NIE
세종,세종특별자치시교육청,세종외국어교육지원센터 YBM리딩팜 온라인 이용권 구매 계약,2021-04-19,5000000,주식회사 와이비엠넷,물품,YBM 리딩팜
대구,대구광역시교육청,2021년 교육용 마인크래프트 사용권 구매,2021-06-03,11340000,주식회사코아인포메이션,물품,마인크래프트 에듀케이션
서울,서울특별시교육청 서울특별시동부교육지원청,행정업무용 소프트웨어 구매(Autocad 3년),2021-06-14,3960000,주식회사 오렌지테크,물품,AutoCAD
광주,광주광역시교육청,e-NIE(온라인 뉴스 활용 교육) 프로그램 제공 용역,2021-06-07,60000000,한국언론진흥재단,기술용역,e-NIE
전북,전라북도교육청,전북교육청 공무교장 표절검사용 카피킬러캠퍼스 사용 계약,2021-06-15,2800000,(주)무하유,기술용역,카피킬러
제주,제주특별자치도교육청,2021학년도 아우름정보화지원 한컴오피스 구매,2021-06-28,11071500,주식회사 유비커널,물품,한컴오피스
서울,서울특별시교육청 서울특별시성북강북교육지원청,[초등] 과학교육센터 메이커스페이스 물품 구입(레고 에듀스파이크 프라임 외 1종),2021-07-08,5400000,(주) 핸즈온테크놀러지,물품,레고 에듀케이션
충남,충청남도교육청 충청남도논산계룡교육지원청,2021 학교지원센터 연계  스마트 가정통신문 e-알리미 사용,2021-06-29,5200000,주식회사 이웃닷컴,기술용역,e알리미
광주,광주광역시교육청,2021년 표절검사 서비스(카피킬러캠퍼스) 연간 이용계약,2021-08-26,20000000,(주)무하유,기술용역,카피킬러
인천,인천광역시교육청,2학기 전면등교 대비 학교 보건교사 직무연수 zoom 생방송 용역,2021-08-27,2695000,주식회사 클라스보쇼,기술용역,Zoom
전남,전라남도교육청 전라남도목포교육지원청,2021 초등학교 AI 맞춤형 온라인 학습 프로그램(아이스크림 홈런) 구입,2021-11-17,2054000,(주)아이스크림에듀,물품,아이스크림 홈런
전남,전라남도교육청 전라남도목포교육지원청,2021 초등학교 AI 맞춤형 온라인 학습 프로그램(밀크티) 구입,2021-11-17,2054000,(주)천재교과서,물품,밀크T
세종,세종특별자치시교육청,2021년 어도비 소프트웨어 사용권 구매,2021-11-18,7308000,주식회사데이타큐브,물품,Adobe
경기,경기도교육청 경기도가평교육지원청,교육시설팀 소프트웨어(AUTOCAD) 라이선스 구입,2021-12-20,2200000,주식회사 오렌지테크,물품,AutoCAD
전남,전라남도교육청 전라남도신안교육지원청,2021. 초등 AI 온라인 학습 프로그램 학습권(아이스크림 홈런),2021-11-01,2370000,(주)아이스크림에듀,기술용역,아이스크림 홈런
전남,전라남도교육청 전라남도보성교육지원청,2021. 초등AI 맞춤형 온라인 학습 프로그램(아이스크림 홈런) 용역,,2686000,(주)아이스크림에듀,기술용역,아이스크림 홈런
전남,전라남도교육청 전라남도보성교육지원청,2021. 초등 AI 맞춤형 학습 프로그램(아이스크림 홈런) 용역,2021-11-09,2686000,(주)아이스크림에듀,기술용역,아이스크림 홈런
전남,전라남도교육청 전라남도보성교육지원청,2021. 초등 AI 맞춤형 학습 프로그램(밀크티) 용역,2021-11-10,2212000,(주)천재교과서,기술용역,밀크T
전남,전라남도교육청 전라남도목포교육지원청,2022년 초등학교  AI 맞춤형 온라인 학습 프로그램(초등아이스크림 에듀),2022-01-14,10270000,(주)아이스크림에듀,기술용역,아이스크림 홈런
전남,전라남도교육청 전라남도목포교육지원청,2022년 초등학교  AI 맞춤형 온라인 학습 프로그램(밀크티),2022-01-14,10270000,(주)천재교과서,기술용역,밀크T
충남,충청남도교육청,2022년 클라우드연계시스템(오피스365) 소프트웨어 유지 관리,2021-12-14,6783000,(주)포스텍,기술용역,MS Office
전북,전라북도교육청,2022년 전자도서관 「학술DB(DBpia)」 사용권 구매 계약,2021-12-31,17928000,주식회사 누리미디어,물품,DBpia
세종,세종특별자치시교육청,2021년 어도비 소프트웨어 사용권 추가 구매 계약,2021-12-28,6710000,주식회사데이타큐브,물품,Adobe
강원,강원도교육청,2022년도 도면설계(AUTOCAD) 프로그램 연간 임대 라이선스 구입,2022-01-01,21450000,그루네트웍스,물품,AutoCAD
경기,경기도교육청 경기도가평교육지원청,교육시설팀 소프트웨어(AUTOCAD) 라이선스 구입,2022-01-13,1815000,주식회사 오렌지테크,물품,AutoCAD
충남,충청남도교육청,"사립유치원 소프트웨어(한글, MS Office) 사용권 구매",2022-01-26,24910000,주식회사 바움아이티,물품,MS Office|한컴오피스
경기,경기도교육청 경기도화성오산교육지원청,MS Office 365 1년 사용권(라이선스) 구입,2022-02-21,1353000,주식회사 보아시스템,물품,MS Office
제주,제주특별자치도교육청,"2022 정품 소프트웨어(한글, MS-오피스) 라이선스 구매",2022-03-21,933000000,디에이치정보기술,물품,MS Office|한컴오피스
인천,인천광역시교육청,2022년 학술정보검색 포털사이트(DBpia) 구독 계약,2022-01-18,3433000,주식회사 누리미디어,기술용역,DBpia
전남,전라남도교육청 전라남도신안교육지원청,2022. 초등 AI 온라인 학습 프로그램 학습권(아이스크림에듀),,11850000,(주)아이스크림에듀,기술용역,아이스크림 홈런
전남,전라남도교육청 전라남도신안교육지원청,2022. 초등 AI 온라인 학습 프로그램 학습권(아이스크림에듀),2022-01-19,11850000,(주)아이스크림에듀,기술용역,아이스크림 홈런
경남,경상남도교육청 경상남도진주교육지원청,"아이톡톡, 스마트단말기 이해 연수운영 용역",2022-01-24,17520000,주식회사 이앤웍스,기술용역,아이톡톡
경남,경상남도교육청,2022. 온라인뉴스활용교육(e-NIE) 프로그램 지원 용역,,149300000,주식회사 비큐에이아이 (BECU AI Inc.),기술용역,e-NIE
전남,전라남도교육청 전라남도보성교육지원청,초등AI 맞춤형 온라인 학습프로그램(밀크티) 용역 계약,2022-01-25,11060000,(주)천재교과서,기술용역,밀크T
경남,경상남도교육청,2022. 온라인뉴스활용교육(e-NIE) 프로그램 지원 용역,2022-02-25,149300000,주식회사 비큐에이아이 (BECU AI Inc.),기술용역,e-NIE
대구,대구광역시교육청,2022년 교육용 마인크래프트 사용권 구매,2022-05-26,19789200,주식회사 바이탈컴,물품,마인크래프트 에듀케이션
제주,제주특별자치도교육청,안전복지과 2022학년도 아우름정보화 지원 한컴오피스 구매,2022-05-27,9672000,디에이치정보기술,물품,한컴오피스
경남,경상남도교육청,2022. 빅데이터·AI플랫폼 아이톡톡 개발 용역,2022-06-02,5688000000,주식회사 유니와이드,일반용역,아이톡톡
부산,부산광역시교육청,줌(ZOOM) 웨비나 솔루션 라이선스 구입 견적요청,2022-02-28,1111000,에스코피티이엘티디(영업소),기술용역,Zoom
서울,서울특별시교육청,2022. 패션전문가와 함께하는 다문화 꿈토링스쿨 2기 운영프로그램 용역,2022-05-10,128920000,주식회사 더블유타임즈,기술용역,링스쿨
전남,전라남도교육청 전라남도무안교육지원청,초등AI맞춤형온라인학습 프로그램(아이스크림홈런) 지원,2022-01-01,8690000,(주)아이스크림에듀,기술용역,아이스크림 홈런
전북,전라북도교육청,전라북도교육청 공모교장 표절검사용 카피킬러캠퍼스 사용계약,2022-06-16,2800000,(주)무하유,기술용역,카피킬러
광주,광주광역시교육청 광주광역시동부교육지원청,업무용 소프트웨어(알툴즈) 라이선스 구입,2022-07-01,1070000,(주)닷넷소프트,물품,알툴즈
광주,광주광역시교육청,2022년 표절검사 서비스(카피킬러캠퍼스) 연간 이용 계약,2022-08-25,21000000,(주)무하유,물품,카피킬러
광주,광주광역시교육청,2022년 표절검사 서비스(카피킬러캠퍼스) 연간 이용 계약,,21000000,(주)무하유,기술용역,카피킬러
경기,경기도교육청 경기도동두천양주교육지원청,통합홈페이지 DBMS 라이선스 구입,2022-10-04,20900000,케이엘정보통신 주식회사,물품,MS Office
강원,강원도교육청,학내망관리용 프로그램(AutoCAD) 임대 라이선스 구입,2022-11-30,16500000,그루네트웍스,물품,AutoCAD
세종,세종특별자치시교육청,어도비 소프트웨어 사용권 구매,2022-11-24,10870000,주식회사데이타큐브,물품,Adobe
제주,제주특별자치도교육청,메타버스(ZEP)활용한 온.오프라인 과학 탐구활동 장학자료 제작,2022-12-12,14400000,성민출판,물품,젭(ZEP)
부산,부산광역시교육청,유초등교육과 줌(ZOOM) 솔루션 라이선스 구입,2022-10-28,8462300,에스코피티이엘티디(영업소),기술용역,Zoom
경기,경기도교육청 경기도수원교육지원청,"2022 AI학습을 통한 다문화,탈북학생 기초학력 증진 프로그램(아이스크림 홈런)",2022-12-19,1422000,(주)아이스크림에듀,기술용역,아이스크림 홈런
강원,강원도교육청,2023년 도면설계(AUTOCAD) 프로그램 연간 임대 라이선스 구매,2023-01-30,21978000,그루네트웍스,물품,AutoCAD
경기,경기도교육청 경기도성남교육지원청,통합홈페이지 DBMS 라이선스 갱신 계약,2023-02-14,5300000,클릭소프트 주식회사,물품,MS Office
경남,경상남도교육청 경상남도사천교육지원청,2023년도 시설사업 Auto CAD 구매,2023-03-10,3140500,주식회사 티넷소프트,물품,AutoCAD
충남,충청남도교육청,2023년도 클라우드연계시스템(오피스365) 유지관리 용역,2023-01-01,6498000,주식회사 아름정보,기술용역,MS Office
인천,인천광역시교육청,2023년 학술정보검색 포털사이트(DBpia) 구독 계약,2023-01-16,3501000,주식회사 누리미디어,기술용역,DBpia
제주,제주특별자치도교육청,2023년 정품 소프트웨어(MS-오피스) 라이선스 구매,2023-03-23,497287000,주식회사 테크팜,물품,MS Office
강원,강원도교육청,"2023년도 행정용 소프트웨어(MS VDA, 알툴즈) 연간 라이선스 구매",2023-06-08,80058000,(주)씨디에스,물품,알툴즈
서울,서울특별시교육청 서울특별시강서양천교육지원청,2023년 강서양천 꿈미래센터 네프론 임대 용역,2023-03-21,3000000,수퍼빈 주식회사,기술용역,네프론
서울,서울특별시교육청,챗GPT 시대의 AI 리터러시 교사 토론회 위탁 용역,2023-03-22,9990000,주식회사 넷마루,기술용역,ChatGPT
경남,경상남도교육청,2023. 전자신문활용교육(e-NIE) 프로그램 지원 용역,2023-03-31,150000000,주식회사 비큐에이아이 (BECU AI Inc.),기술용역,e-NIE
서울,서울특별시교육청,챗GPT 계기교육 자료 개발 위탁 용역,2023-04-24,9873000,사단법인에이아이프렌즈학회,기술용역,ChatGPT
서울,서울특별시교육청,「2023 패션전문가와 함께 하는 다문화 꿈토링스쿨 3기」 운영 프로그램 용역,2023-05-16,139000000,주식회사 더블유타임즈,기술용역,링스쿨
인천,인천광역시교육청,ChatGPT 행정업무 활용 교육,2023-05-16,3000000,한국아이씨티나눔협동조합,기술용역,ChatGPT
인천,인천광역시교육청,ChatGPT 이해와 교수학습 가이드 제작 용역,2023-05-26,16600000,굿디자인,기술용역,ChatGPT
제주,제주특별자치도교육청,2023학년도 아우름정보화 지원 한컴오피스 구입,2023-06-15,6200000,디에이치정보기술,물품,한컴오피스
제주,제주특별자치도교육청,2023학년도 아우름정보화 지원 한컴오피스 구입,2023-06-26,10075000,디에이치정보기술,물품,한컴오피스
제주,제주특별자치도교육청,2023학년도 아우름정보화 지원 한컴오피스 구입,2023-06-30,10075000,디에이치정보기술,물품,한컴오피스
광주,광주광역시교육청 광주광역시동부교육지원청,업무용 소프트웨어(알툴즈) 라이선스 구입,2023-07-11,1070000,주식회사 라온아이티,물품,알툴즈
광주,광주광역시교육청,2023년 표절검사 서비스(카피킬러캠퍼스) 연간 이용 계약,2023-08-25,21000000,(주)무하유,물품,카피킬러
인천,인천광역시교육청,「2023 인천크래프트 공모전」 운영을 위한 마인크래프트 교육용 계정 구입,2023-06-19,13998990,주식회사 에이마스,기술용역,마인크래프트 에듀케이션
전북,전라북도교육청,공모교장 지원서류 표절검사(카피킬러캠퍼스) 이용,2023-06-27,2800000,(주)무하유,기술용역,카피킬러
경기,경기도교육청 경기도수원교육지원청,"2023 AI기반 다문화,탈북 학생 기초학력 증진  프로그램(아이스크림홈런)",2023-07-17,2370000,(주)아이스크림에듀,기술용역,아이스크림 홈런
경기,경기도교육청 경기도수원교육지원청,"2023 AI기반 다문화,탈북 학생 기초학력 증진  프로그램(아이스크림홈런) 변경 계약",2023-07-24,2212000,(주)아이스크림에듀,기술용역,아이스크림 홈런
전북,전라북도교육청,전자도서관 구독형 오디오북 서비스(윌라) 2023년 사용권 추가 구입,2023-07-25,16000000,주식회사 인플루엔셜,기술용역,윌라
광주,광주광역시교육청,2023년 표절검사 서비스(카피킬러캠퍼스) 연간 이용 계약,,21000000,(주)무하유,기술용역,카피킬러
경기,경기도교육청 경기도용인교육지원청,2023 경기이룸학교 용인캠퍼스 학교 교육과정 연계 프로그램 레고AI 수업교구 구입 계약,2023-11-16,9990000,(주) 핸즈온테크놀러지,물품,레고 에듀케이션
서울,서울특별시교육청,서울특별시교육청 업무용 소프트웨어(Adobe) 라이선스 구매,,5060000,주식회사 후니테크,물품,Adobe
서울,서울특별시교육청,서울특별시교육청 업무용 소프트웨어(Adobe) 라이선스 구매,2023-11-27,5060000,주식회사 후니테크,물품,Adobe
경기,경기도교육청,AI기반 교수학습 플랫폼(하이러닝) 적정원가산정 컨설팅 용역,2023-10-13,19000000,"데일리소프트 주식회사 (dailySoft Co.,Ltd.)",기술용역,하이러닝
인천,인천광역시교육청,2023년 생태모니터링 플랫폼(스쿨네이처링) 고도화 용역,2023-10-17,49000000,네이처링 주식회사,기술용역,스쿨네이처링
세종,세종특별자치시교육청,2023년 어도비 소프트웨어 사용권 구매,2023-12-15,21750000,주식회사데이타큐브,물품,Adobe
경기,경기도교육청 경기도여주교육지원청,여주교육지원청 통합 홈페이지 DBMS 라이선스 구매,2024-02-05,6000000,클릭소프트 주식회사,물품,MS Office
경기,경기도교육청 경기도성남교육지원청,통합홈페이지 DBMS 라이선스 갱신 계약,2024-01-01,6000000,클릭소프트 주식회사,물품,MS Office
경기,경기도교육청 경기도성남교육지원청,통합홈페이지 DBMS 라이선스 갱신 계약,2024-02-22,0,클릭소프트 주식회사,물품,MS Office
경기,경기도교육청 경기도성남교육지원청,통합홈페이지 DBMS 라이선스 갱신 계약,2024-02-23,6000000,클릭소프트 주식회사,물품,MS Office
충남,충청남도교육청,2024년 클라우드연계시스템(오피스365) 유지관리 용역,,6498000,주식회사 아름정보,기술용역,MS Office
충남,충청남도교육청,2024 클라우드연계시스템(오피스365) 유지관리 용역,2024-01-01,6498000,주식회사 아름정보,기술용역,MS Office
전북,전북특별자치도교육청,JB메타스쿨 ZEP Edu Pro 이용 계약,2024-01-22,3600000,주식회사 젭,기술용역,젭(ZEP)
인천,인천광역시교육청,2024년 학술정보검색 포털사이트(DBpia) 구독 계약,2024-01-26,3571000,주식회사 누리미디어,기술용역,DBpia
경기,경기도교육청,2024년 하이러닝 선도교원 역량 강화 직무연수 용역,2024-02-08,45000000,주식회사 에이치마케팅커뮤니케이션즈,기술용역,하이러닝
경남,경상남도교육청,2024년 전자신문활용교육(e-NIE) 프로그램 지원 사업 용역,2024-02-26,150000000,주식회사 비큐에이아이 (BECU AI Inc.),기술용역,e-NIE
경북,경상북도교육청,2024년 업무용 소프트웨어(MS오피스 등) 연간사용권 구매,2024-03-18,1700000000,주식회사 바이탈컴,물품,MS Office
인천,인천광역시교육청,2024년 한-콜 메타크루원정대 운영을 위한 마인크래프트 계정 구입,2024-03-20,5250000,주식회사 에이마스,물품,마인크래프트 에듀케이션
제주,제주특별자치도교육청,2024년 정품 소프트웨어(MS-오피스) 라이선스 구매,2024-03-25,395000000,주식회사 유비커널,물품,MS Office
대전,대전광역시교육청,2024년 업무용 소프트웨어 MS EES 사용권 구매,2024-05-03,1199900000,주식회사 에쓰핀테크놀로지,물품,MS Office
제주,제주특별자치도교육청,2024년 사진 및 동영상 편집프로그램(Adobe CCE) 라이선스 구매,2024-05-24,98670000,주식회사 아이에스시지,물품,Adobe
광주,광주광역시교육청,2024년도 업무용 소프트웨어(MS EES) 사용권 구매,2024-06-17,1351000000,주식회사 에쓰핀테크놀로지,물품,MS Office
인천,인천광역시교육청,2024년 업무용 소프트웨어(MS EES) 구매,2024-06-17,2850000000,주식회사 에쓰핀테크놀로지,물품,MS Office
전북,전북특별자치도교육청,표절검사용 카피킬러캠퍼스 연간 이용 라이선스 구입,2024-06-21,2940000,(주)무하유,물품,카피킬러
경기,경기도교육청 경기도화성오산교육지원청,2024년 다문화 학생 대상 온라인 한글학습 프로그램(토도한글) 구매 계약,,9720000,주식회사 에누마코리아,물품,토도한글
경기,경기도교육청 경기도화성오산교육지원청,2024년 다문화 학생 대상 온라인 한글학습 프로그램(토도한글) 구매 계약,2024-07-03,9720000,주식회사 에누마코리아,물품,토도한글
울산,울산광역시교육청,2024년 저소득층 교육정보화 PC 한컴오피스 라이선스 구입,2024-07-17,13938000,주식회사삼성하이테크시스템,물품,한컴오피스
경기,경기도교육청 경기도부천교육지원청,2024년 에듀테크 솔루션 보급을 위한 ‘투닝’물품계약,2024-08-12,9720000,주식회사 툰스퀘어,물품,투닝
전북,전북특별자치도교육청,2024년 저소득층 초중고 학생 교육정보화 지원 소프트웨어(한컴오피스2024) 128세트 구매건,2024-08-14,4505600,주식회사 더에스앤씨,물품,한컴오피스
경기,경기도교육청 경기도수원교육지원청,2024 에듀테크 솔루션 보급을 위한 에듀테크 솔루션 sw 구입(투닝),2024-08-22,8640000,주식회사 툰스퀘어,물품,투닝
경기,경기도교육청 경기도김포교육지원청,2024 에듀테크 솔루션 보급을 위한 SW 이용권(투닝) 계약,2024-08-29,19920000,주식회사 툰스퀘어,물품,투닝
경기,경기도교육청 경기도안양과천교육지원청,2024 에듀테크 솔루션 보급 지원 관련 소프트웨어(투닝) 구입 계약,2024-08-30,6960000,주식회사 툰스퀘어,물품,투닝
경기,경기도교육청 경기도안양과천교육지원청,"2024 에듀테크 솔루션 보급 지원 관련 소프트웨어(띵커벨, 클래스툴) 구입 계약",2024-08-30,14730000,주식회사 아이스크림미디어,물품,띵커벨|클래스툴
경기,경기도교육청 경기도안양과천교육지원청,2024 에듀테크 솔루션 보급 지원 관련 소프트웨어(QuizN) 구입 계약,2024-08-30,4514400,주식회사 소프트앤,물품,퀴즈앤
경기,경기도교육청 경기도안양과천교육지원청,2024 에듀테크 솔루션 보급 지원 관련 소프트웨어(와우아이디어스) 구입 계약,2024-08-30,1485000,주식회사 청운정보,물품,와우아이디어스
경기,경기도교육청 경기도양평교육지원청,2024년 에듀테크 솔루션 계정 구입(퀴즈앤),2024-08-28,1821600,주식회사 소프트앤,물품,퀴즈앤
경기,경기도교육청 경기도평택교육지원청,투닝 학교 Pro 라이선스 이용 계약 (2024년 에듀테크 솔루션 보급 및 활용 사업),2024-09-01,19800000,주식회사 툰스퀘어,물품,투닝
경기,경기도교육청,경기도교육청 하이러닝 캐릭터 개발 용역,2024-07-29,13970000,주식회사 힙업플래닛,기술용역,하이러닝
경기,경기도교육청 경기도안산교육지원청,2024년 에듀테크 솔루션 보급을 위한 ‘투닝’ 계약,2024-09-01,10320000,주식회사 툰스퀘어,기술용역,투닝
세종,세종특별자치시교육청,정품 소프트웨어(MS OVS-ES) 사용권 구매,2024-09-23,59424000,주식회사 테크팜,물품,MS Office
충북,충청북도교육청,2024년도 정품 소프트웨어(MS 제품군) 연간 사용권 구매,2024-09-27,1332000000,주식회사 디모아,물품,MS Office
충남,충청남도교육청 충청남도천안교육지원청,2024 천안AI꿈키움터 인공지능교육 체험프로그램 참여 수업 교구(모두의 마이크로비트 등 5종) 구입,2024-10-29,16472500,아이씨뱅큐(주),물품,마이크로비트
서울,서울특별시교육청,본청 업무용 소프트웨어(Adobe) 라이선스 구매,2024-11-20,5830000,(주)비츠코리아,물품,Adobe
세종,세종특별자치시교육청,2024년 어도비 소프트웨어 사용권 구매,2024-11-19,11660000,주식회사데이타큐브,물품,Adobe
서울,서울특별시교육청,본청 업무용 소프트웨어(Adobe) 라이선스 구매,,0,(주)비츠코리아,물품,Adobe
서울,서울특별시교육청,본청 업무용 소프트웨어(Adobe) 라이선스 구매,2024-11-20,5830000,(주)비츠코리아,물품,Adobe
경기,경기도교육청 경기도안양과천교육지원청,2025년 통합 홈페이지 DBMS 라이선스 구매 계약,,6000000,케이엘정보통신 주식회사,물품,MS Office
경기,경기도교육청 경기도안양과천교육지원청,2025년 통합 홈페이지 DBMS 라이선스 구매 계약,2024-11-27,6000000,케이엘정보통신 주식회사,물품,MS Office
경기,경기도교육청,AI 기반 맞춤형 교육 일반화 추진을 위한 하이러닝 컨설팅 용역,2024-09-23,112200000,주식회사 티지,일반용역,하이러닝
경기,경기도교육청 경기도군포의왕교육지원청,2024 군포의왕 AIDT 및 코스웨어 역량 강화 원격 직무연수 용역,2024-10-08,15000000,주식회사 아이스크림미디어,기술용역,아이스크림미디어 AI·디지털 교육자료
강원,강원특별자치도교육청,2024년 중등정보교사 대상 AI 디지털교과서(AI 코스웨어) 수업설계 연수 위탁 용역,2024-10-17,16152000,(주)비상교육,기술용역,비상교육 AI·디지털 교육자료
경기,경기도교육청 경기도군포의왕교육지원청,2024 군포의왕 AIDT 및 코스웨어 역량 강화 원격 직무연수 용역,2024-11-14,5450000,주식회사 아이스크림미디어,기술용역,아이스크림미디어 AI·디지털 교육자료
경기,경기도교육청,유네스코 특별세션 및 체험부스 운영 하이러닝 영상 제작 용역,2024-11-25,4400000,머스타드임팩트 주식회사,기술용역,하이러닝
경기,경기도교육청 경기도화성오산교육지원청,2024년 다문화 학생 기초학력 프로그램(클래스팅) 구매 계약,2024-12-09,1980000,주식회사 씨티,물품,클래스팅
경기,경기도교육청 경기도화성오산교육지원청,"2024년 다문화 학생 기초학력 프로그램(토도한글, 토도수학) 구매 계약",2024-12-09,12180000,주식회사 에누마코리아,물품,토도한글|토도수학
경기,경기도교육청 경기도안산교육지원청,2024 다문화학생 대상 기초학습 프로그램(소중한글),2024-12-12,14400000,주식회사 에이치투케이,물품,소중한글
경기,경기도교육청 경기도안산교육지원청,2024 다문화학생 대상 기초학습 프로그램(토도한글/수학),2024-12-12,12300000,주식회사 에누마코리아,물품,토도한글|토도수학
충남,충청남도교육청,2025년 업무용 소프트웨어(MS EES) 구매,2024-12-30,1986208400,주식회사 에쓰핀테크놀로지,물품,MS Office
경기,경기도교육청 경기도성남교육지원청,2025 경기도성남교육지원청 통합홈페이지 DBMS 라이선스 갱신 계약,2025-01-10,6300000,케이엘정보통신 주식회사,물품,MS Office
경기,경기도교육청 경기도성남교육지원청,2025 경기도성남교육지원청 통합홈페이지 DBMS 라이선스 갱신 계약,2025-01-10,6300000,케이엘정보통신 주식회사,물품,MS Office
경기,경기도교육청 경기도여주교육지원청,여주교육지원청 통합 홈페이지 DBMS 라이선스 구입,2025-01-17,6300000,케이엘정보통신 주식회사,물품,MS Office
경기,경기도교육청 경기도여주교육지원청,여주교육지원청 통합 홈페이지 DBMS 라이선스 구입,2025-01-17,6300000,케이엘정보통신 주식회사,물품,MS Office
경기,경기도교육청,최소 성취수준 보장지도 관련 하이러닝 영상 제작 용역,2024-12-23,49940000,ckdal,기술용역,하이러닝
