"과학고·특성화고 에듀테크 활용사례 DB (2023.1~2026.7, 웹 공개자료 기반)",,,,,,,,,,,
,,,,,,,,,,,
연번,학교명,학교유형,지역,제품/서비스명,제품 카테고리,활용 시기,활용 내용,출처 유형,출처 URL,신뢰도,비고
139,강원과학고등학교,과학고,강원 원주,AI정보교실(환경개선 공사),AI 교육 인프라,2025.1,"S2B 수의계약 — AI정보교실 환경 개선 공사 2건(6,986만)",S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
140,제주과학고등학교,과학고,제주,"Cursor AI, 구글 워크스페이스, AI특화과정 기자재(맥북·고성능 노트북)",AI 코딩도구·클라우드·인프라,2025.12~2026.4,"S2B 수의계약 — AI정보교육 중심학교 수업 비품(2025.12), Cursor 구입(87.4만), AI특화과정 운영 SW 구글 워크스페이스(106.4만)·맥북(440만)·고성능 노트북(557.5만)",S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,AI 특화과정 운영교
141,대구과학고등학교,영재학교,대구,Gemini Advanced(6개월 라이선스),생성형 AI 구독,2025.11,S2B 수의계약 — 제미나이 어드밴스드 6개월 라이선스(29.9만),S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,2026.6 Claude Pro 도입 이전 이력
142,대구일과학고등학교,과학고,대구,교육 맞춤 AI GPT 서비스(상하정보기술),생성형 AI 서비스,2025.7~2026.2,S2B 수의계약 — 교육 맞춤 AI GPT 이용 서비스(2025.7 55만 → 2026.2 330만 확대),S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
143,경북과학고등학교,과학고,경북 포항,"AI디지털교과서 교육자료(지학사, 씨마스 고등 정보)",AI 디지털교과서(AIDT),2026.3,S2B 수의계약 — 지학사 AIDT 교육자료(324.3만)+씨마스 고등 정보 AIDT(335.5만) 구독,S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,AIDT 유상 구매의 과학고 실증 사례
144,부산일과학고등학교,과학고,부산,"Cursor AI Pro, 울프람알파 프로(Wolfram Alpha Pro), AI 특화과정 챗봇 라이선스",AI 코딩·연산 도구·챗봇,2025.8~2026.4,"S2B 수의계약 — 커서 AI 프로(44.9만), 울프람알파 프로 2건, AI 특화과정 챗봇 라이선스(86.4만), SW·AI 지원사업 재료·진로체험 연중 운영",S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,AI 특화과정 운영교
145,전남과학고등학교,과학고,전남 나주,Cursor AI Pro,AI 코딩도구 구독,2025.9(2건),S2B 수의계약 — 커서 AI 프로 라이선스 2건(37.9만),S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
146,전남자연과학고등학교,특성화고,전남 나주,AI교실 구축(브이알펄스 VR 장비 포함),AI 교실 인프라,2025.1,"S2B 수의계약 — AI교실 구축 물품 3건(1,494만, VR 전문기업 브이알펄스 포함)",S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,농생명계
147,정석항공과학고등학교,특성화고,인천,AI디지털교과서(AIDT) 활용,AI 디지털교과서(AIDT),2025.3,S2B 수의계약 — 'AIDT 활용 부속품' 구매(129.8만) — AIDT 수업 활용 정황,S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,간접 증거(부속품 구매)
148,인천해양과학고등학교,특성화고,인천,생기부AI 하마룸(티처라인),AI 학생부 지원 도구,2025.10,S2B 수의계약 — 생기부 AI 하마룸(85.8만),S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
149,인천바이오과학고등학교,특성화고,인천,"생기부AI 하마룸(티처라인, 1년)",AI 학생부 지원 도구,2026.4,S2B 수의계약 — 생기부AI 하마룸 1년(138.6만),S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,하마룸 인천 특성화고 2개교 확인
150,서서울생활과학고등학교,특성화고,서울,이음AI PLUS(화이트소프트),교육용 생성형 AI 구독,2025.12,S2B 수의계약 — 이음AI PLUS(25.2만),S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
151,강원생명과학고등학교,특성화고,강원 춘천,"ChatGPT Plus(호랑에듀 경유), 에듀테크 AI 이용료(화이트소프트)",생성형 AI 구독,2025.7~9,"S2B 수의계약 — 챗GPT 플러스(309.6만, 호랑에듀), 에듀테크 AI 이용료(130.9만)",S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
152,수원정보과학고등학교,특성화고,경기 수원,ChatGPT Plus(3개월),생성형 AI 구독,2025.7,S2B 수의계약 — 챗GPT 플러스 3개월(17만),S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
153,수원농생명과학고등학교,특성화고,경기 수원,Google AI Pro,생성형 AI 구독,2025.12,S2B 수의계약 — 구글 AI 프로(88만),S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
154,김천생명과학고등학교,특성화고,경북 김천,패들렛 플래티넘 AI(12개월),협업·제작 도구 구독,2025.7,S2B 수의계약 — 패들렛 플래티넘 AI 라이선스 12개월(119만),S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
155,전주생명과학고등학교,특성화고,전북 전주,Gamma Pro(감마 프로),AI 프레젠테이션 도구,2026.4,S2B 수의계약 — 감마 프로 AI 에듀테크(38만),S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
156,경기영상과학고등학교,특성화고,경기 안양,CapCut Pro AI(12개월),AI 영상편집 구독,2026.4,S2B 수의계약 — 캡컷 프로 AI 동영상 에디터 12개월(24만),S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
157,대전도시과학고등학교,특성화고,대전,ChatGPT Plus(GPT-5),생성형 AI 구독,2026.4,S2B 수의계약 — 챗GPT 플러스 안심구독(38만),S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
158,영락의료과학고등학교,특성화고,서울,이음AI PLUS 외(화이트소프트),교육용 생성형 AI 구독,2026.4,S2B 수의계약 — 이음AI PLUS 외 1종(775.2만) — 특성화고 최대급 AI 구독 계약,S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
159,영동산업과학고등학교,특성화고,충북 영동,생성형 AI 구독(중소기업 특성화고 인력양성사업),생성형 AI 구독,2026.4,S2B 수의계약 — 중기 특성화고 인력양성 운영 생성형 AI 구독(33.3만),S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
160,연무마이스터고등학교,마이스터고,충남 논산,"AIDT 교육자료(비상교육, NE능률)",AI 디지털교과서(AIDT),2025.12~2026.3 반복,"S2B 수의계약 — 비상교육(313.2만)+NE능률(287.9만) AIDT 구독, 2026.3 NE능률 재구매(379.3만)",S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,AIDT 연속 구독 사례
161,한국에너지마이스터고등학교,마이스터고,충남 아산,AIDT 교육자료(천재교과서 공통영어2),AI 디지털교과서(AIDT),2025.10,S2B 수의계약 — 천재교과서 AIDT 공통영어2(258.5만),S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
162,한국해양마이스터고등학교,마이스터고,부산,"AIDT 교육자료(천재교과서 고등), Zoom Pro AI",AI 디지털교과서·화상수업,2025.12~2026.3,"S2B 수의계약 — 줌 프로 AI(33만), 천재교과서 AI 디지털 교육자료 고등(435.5만)",S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
163,대구소프트웨어마이스터고등학교,마이스터고,대구,"AIDT 교육자료(YBM), SW-AI 융합 동아리 운영",AI 디지털교과서·SW 교육,2025.5~2026.3,"S2B 수의계약 — 대구교육청 SW-AI 융합 동아리(750만, 2025.5), YBM AIDT 교육자료 외 1종(656.5만, 2026.3)",S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
164,경기게임마이스터고등학교,마이스터고,경기 안양,ChatGPT Plus(GPT-5),생성형 AI 구독,2025.12,S2B 수의계약 — 챗GPT 플러스 안심구독(108.5만),S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
165,한국의료마이스터고등학교,마이스터고,충북 충주,KT AICE FUTURE 1·2급 자격 실습교육,AI 자격 교육,2025.11,"S2B 수의계약 — AICE FUTURE 1급·2급 자격증 취득 실습교육 운영(2,097만, 와이즈교육)",S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,"AI·SW 융합교육 부장 워크숍 연수(2,003만)도 별도 계약"
166,경북소프트웨어마이스터고등학교,마이스터고,경북 의성,"Gamma Plus(감마 플러스), 스쿨플랫(프리윌린)",AI 프레젠테이션·수학 코스웨어,2025.9~10,"S2B 수의계약 — 스쿨플랫 수학 AI 코스웨어(39.6만), 감마 플러스 AI 구독(23.5만)",S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
167,경북바이오마이스터고등학교,마이스터고,경북 상주,마타수학AI(AI활용 수학학습프로그램),AI 코스웨어(수학),2025.6,"S2B 수의계약 — AI활용 수학학습프로그램 사용권(249.5만, 마타에듀), 2026.3 Gemini Pro 재구매(77만)",S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
168,한국나노마이스터고등학교,마이스터고,경남 밀양,"교원 AI 디지털 역량강화 에듀테크 구독, AI사제동행 전학공 교육과정",교원연수·에듀테크 구독,2025.6~7,"S2B 수의계약 — 교원 AI 디지털 역량강화 에듀테크 구독(528만), AI사제동행 전학공(150만)",S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
169,울산마이스터고등학교,마이스터고,울산,생성형 AI 라이선스(발명영재 수업),생성형 AI 구독,2025.5,S2B 수의계약 — 발명영재 수업용 생성형 AI 라이선스(67.2만),S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
170,동아마이스터고등학교,마이스터고,부산,AI·SW 교구,AI·SW 교구,2025.5,S2B 수의계약 — AI·SW 교구 지원 사업 교구(844.9만),S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
171,평택마이스터고등학교,마이스터고,경기 평택,AI 취업정보제공시스템(키오스크),AI 취업지원 시스템,2025.4,"S2B 수의계약 — AI 취업정보제공시스템 키오스크(1,850만, 인핸스유)+전용 PC·모니터",S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
172,충남반도체마이스터고등학교,마이스터고,충남 아산,코코아팹 AI IoT 스마트홈 키트,AI·IoT 코딩 교구,2025.4,S2B 수의계약 — SW코딩교육 AI IoT 스마트홈 키트 2건(78만),S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
173,한국소방마이스터고등학교,마이스터고,경북 영천,"CapCut AI Pro, AI 실습용 PC",AI 영상편집·실습 인프라,2025.6~2026.2,"S2B 수의계약 — 캡컷 AI 프로(4.9만), AI 실습용 PC(820만)",S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
174,한국원자력마이스터고등학교,마이스터고,경북 울진,기계과 AI활용 수업 전자칠판,전자칠판·AI 수업 인프라,2026.2,S2B 수의계약 — 기계과 AI활용 수업 전자칠판 스탠드(254만),S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
175,한국국제통상마이스터고등학교,마이스터고,인천,이음AI PRO(통합 AI솔루션 연간 이용권),교육용 생성형 AI 구독,2025.11,S2B 수의계약 — 이음AI PRO 연간 이용권(37.2만),S2B 구매기록,https://www.s2b.kr/S2BNCustomer/tcmo001.do?forwardName=list03,상,
176,한국나노마이스터고등학교,마이스터고,경남 밀양,응용소프트웨어(기자재),전공 특화 SW,2025.6,"나라장터 계약정보 API — 기자재(응용소프트웨어2) 구매 7,040만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
177,부산해군과학기술고등학교,특성화고,부산,OrCAD(회로설계 SW),전공 특화 SW,2024.10,"나라장터 계약정보 API — 전환개교 지원사업 기자재(응용소프트웨어-OrCAD) 2,165만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
178,경주여자정보고등학교,특성화고,경북 경주,디지털 기반 학생 맞춤교육 SW(제품명 미확인),맞춤학습 SW,2025,"나라장터 계약정보 API — 디지털 기반 학생 맞춤교육 소프트웨어 1,375만 + 취업정보시스템 AI면접기 9,240만(2023.2)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
179,전북인공지능고등학교,특성화고,전북 완주,AI 교실 구축(기자재 포함),AI 인프라,2025.6,"나라장터 계약정보 API — AI 교실 구축 및 기자재 2억 3,733만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
180,세경고등학교,특성화고,경기 파주,AI Rising 프로젝트·클라우드 플랫폼,AI 교육 프로그램,2025,"나라장터 계약정보 API — 콘텐츠 창의학교 AI Rising 프로젝트 1,000만 + CLOUD 실습실 클라우드 플랫폼 516만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
181,김포과학기술고등학교,특성화고,경기 김포,"자동화검사공정시스템·AI로봇, MS제품군",AI 실습장비·기본 SW,2024~2025,"나라장터 계약정보 API — 메이커스페이스 자동화검사공정+AI로봇 7,803만(2025) + MS제품군 연간 655만(2024)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
182,부천정보산업고등학교,특성화고,경기 부천,"Adobe·MS OVS-ES, 넷클래스",그래픽·기본 SW,2023~2025(4건),"나라장터 계약정보 API — Adobe·MS 2,097만(2024)·실습실 Adobe 846만(2025)·SW 318만·넷클래스 318만(2023)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
183,경기물류고등학교,특성화고,경기 파주,Adobe·MS 라이선스,기본 SW,2023~2025(3건),나라장터 계약정보 API — SW 라이선스 389만(2025)·MS 연간 510만(2024)·Adobe 152만(2023),나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
184,송원여자상업고등학교,특성화고,광주,"AI팩토리(미래교실)·VR장비, 교육용 SW",AI 교실·VR,2024~2025,"나라장터 계약정보 API — AI팩토리(미래교실) VR장비 1,598만(2025)·교육용 SW 363만(2024)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
185,세그루패션디자인고등학교,특성화고,서울,Adobe(연간 계약),그래픽 SW,2023~2025(2건),"나라장터 계약정보 API — Adobe 연간 1,250만(2025)·연간 임대 갱신 1,564만(2023)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
186,경북공업고등학교,특성화고,대구,"CAD·CAM SW, 스마트팩토리 AI 취업캠프",전공 특화 SW·AI 교육,2023~2025(3건),"나라장터 계약정보 API — 도제학교 CAD SW 3,166만(2025)·CAM 2,950만(2023)·스마트팩토리 AI 취업캠프 위탁 1,672만(2025)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
187,대구보건고등학교,특성화고,대구,멀티미디어실습실 SW,기본 SW,2025,나라장터 계약정보 API — 소프트웨어 구입(멀티미디어실습실) 132만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
188,안양공업고등학교,특성화고,경기 안양,"보안 SW, 공유압·PLC 자동화 실습 SW, Adobe CCT",전공 특화 SW,2023~2025(4건),"나라장터 계약정보 API — 보안SW 업그레이드 409만(2025)·공유압/PLC 실습 SW 3,155만·Adobe CCT 538만·건설기술 SW 262만(2023)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
189,대구과학고등학교,영재학교,대구,"SW-AI-메이커 키트, 다중물리해석 SW(COMSOL류)",연구·실습 SW,2023·2025,"나라장터 계약정보 API — SW-AI-메이커 수업/연구 키트 1,399만(2025)·물리과 다중물리해석 SW 3,342만(2023.12)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
190,한국디지털미디어고등학교,특성화고,경기 안산,"AICE 자격증 프로그램, AI기반 창업가정신 프로그램",AI 교육 프로그램,2025(2건),나라장터 계약정보 API — AICE 자격증 프로그램 698만·AI기반 창업가정신 500만(용역),나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
191,일신여자상업고등학교,특성화고,서울,AI디지털교과서(AIDT) 구독,AIDT,2025(2건),"나라장터 계약정보 API — AIDT 사용 계약 963만(2건, 2025.10)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 — 직업계고 AIDT 유료구독 확산 사례
192,서울도시과학기술고등학교,특성화고,서울,"AIDT 연간 구독(수학·영어), 내선공사 실습 SW",AIDT·전공 SW,2023·2025,"나라장터 계약정보 API — AIDT 연간 구독 4건 계 1,373만(2025)·내선공사 실습 SW 2,200만(2023)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
193,대경생활과학고등학교,특성화고,서울,"AIDT, AI수학 코스웨어",AIDT·코스웨어,2024~2025,나라장터 계약정보 API — AIDT 계약 715만(2025)·교원학습공동체 AI수학 코스웨어 500만(2024),나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
194,경복비즈니스고등학교,특성화고,서울,AIDT 구독,AIDT,2025(2건),나라장터 계약정보 API — 1학기 AIDT 계약 902만(2건),나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
195,서서울생활과학고등학교,특성화고,서울,AIDT 구독,AIDT,2025(3건),나라장터 계약정보 API — AIDT 사용 계약 599만 외(2025.9),나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
196,대전도시과학고등학교,특성화고,대전,AIDT 구독,AIDT,2025,나라장터 계약정보 API — AIDT 구매 337만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
197,대전여자상업고등학교,특성화고,대전,"AIDT 구독, 취업알선·이력관리 플랫폼",AIDT·취업 플랫폼,2025(3건),"나라장터 계약정보 API — AIDT 구독 931만·취업알선/이력관리 플랫폼 운영 2,835만(2건)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
198,동아마이스터고등학교,마이스터고,대전,AIDT(공통영어·공통수학),AIDT,2025(2건),나라장터 계약정보 API — AIDT 사용 계약 계 762만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 — 마이스터고 AIDT 채택
199,영등포공업고등학교,특성화고,서울,AIDT 구독,AIDT,2025(4건),"나라장터 계약정보 API — AIDT 구독 4건 계 1,910만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
200,영락의료과학고등학교,특성화고,서울,AIDT(수학·영어·정보),AIDT,2025(2건),"나라장터 계약정보 API — AIDT 사용 계 1,167만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
201,선정국제관광고등학교,특성화고,서울,AIDT(NE능률·비상교육),AIDT,2025(2건),나라장터 계약정보 API — AIDT 계약 계 430만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
202,고명외식고등학교,특성화고,서울,AIDT 구독,AIDT,2025,나라장터 계약정보 API — 1학기 AIDT 공급 617만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
203,예림디자인고등학교,특성화고,서울,AIDT(디지털교과서 구독),AIDT,2025,나라장터 계약정보 API — 2학기 디지털교과서 구독(수학2) 445만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
204,부경보건고등학교,특성화고,부산,AIDT(비상교육),AIDT,2025,나라장터 계약정보 API — 비상교육 AIDT 이용 200만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
205,인평자동차고등학교,특성화고,인천,"AIDT, AI코스웨어·에듀테크 일괄, 디지털 선도학교 에듀테크",AIDT·코스웨어,2024~2025(4건),"나라장터 계약정보 API — AIDT 185만(2025)·AI코스웨어/에듀테크 3,477만(2024.7)·선도학교 에듀테크 1,275만(2024.12)·AISW과 기자재 4,614만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
206,영종국제물류고등학교,특성화고,인천,AIDT(공통영어),AIDT,2025(2건),나라장터 계약정보 API — AIDT 구입 계 539만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
207,인천비즈니스고등학교,특성화고,인천,AIDT 구독,AIDT,2025,나라장터 계약정보 API — 1학기 AIDT 공급 변경 153만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
208,인천금융고등학교,특성화고,인천,AIDT(공통영어·공통수학),AIDT,2025(2건),"나라장터 계약정보 API — AIDT 공급 계 1,411만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
209,인천디자인고등학교,특성화고,인천,AI 역량강화 취업캠프,AI 교육 프로그램,2025,"나라장터 계약정보 API — AI 역량강화 취업캠프 위탁 1,080만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
210,한성과학고등학교,과학고,서울,"SW·AI 글로벌 리서치 프로그램, SW·AI 특화 교육재료",AI 교육 프로그램,2024~2025,"나라장터 계약정보 API — SW·AI 글로벌 리서치 위탁 6,713만(2025)·특화 교육재료 1,218만(2024.10)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
211,대구일과학고등학교,과학고,대구,"글로벌 AI 리서치 프로그램, AI데이터분석 서버",AI 교육 프로그램·인프라,2023·2025,"나라장터 계약정보 API — 글로벌 AI 리서치 위탁 7,150만(2025)·AI데이터분석 서버 2,000만(2023)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
212,경북소프트웨어마이스터고등학교,마이스터고,경북 의성,SW개발자 부스트캠프,AI·SW 교육 프로그램,2025,"나라장터 계약정보 API — 소프트웨어개발자 부스트캠프 위탁 3,900만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
213,대덕소프트웨어마이스터고등학교,마이스터고,대전,희망인재소양·학점제캠프(위탁),교육 프로그램,2025.6,"나라장터 계약정보 API — 캠프 운영 위탁 8,664만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
214,부산소프트웨어마이스터고등학교,마이스터고,부산,"글로벌 SW 역량 강화 프로그램, OrCAD",SW 교육 프로그램·전공 SW,2023~2025,"나라장터 계약정보 API — 2학년 글로벌 SW 역량 강화 위탁 4억 3,354만(2025)·OrCAD 4,260만(2023.12)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 — 마이스터고 대형 위탁교육
215,유한공업고등학교,특성화고,서울,"리로스쿨, AI면접 특강",학사관리·AI 취업,2024~2025,나라장터 계약정보 API — 리로스쿨 용역 484만(2024.2)·선취업 진로캠프 AI면접 특강 300만(2025.2),나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
216,미래산업과학고등학교,특성화고,서울,AI/SW/게임 분야 진로교육 프로그램,AI 교육 프로그램,2025,"나라장터 계약정보 API — 인공지능콘텐츠과 진로교육 활성화(AI/SW/게임) 4,680만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
217,대구농업마이스터고등학교,마이스터고,대구,통합관리 소프트웨어 구축,학사관리 SW,2025,"나라장터 계약정보 API — 통합관리 SW 구축 1,950만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
218,인천진산과학고등학교,과학고,인천,"인하대 연계 SW·AI 연구 프로그램, 자율주행플랫폼로봇",AI 교육·연구 장비,2025(2건),"나라장터 계약정보 API — 대학연계 SW·AI 연구 교육 1,500만·정보교과 자율주행플랫폼로봇 1,880만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
219,경기관광고등학교,특성화고,경기 여주,"항공체크인시스템 SW, 키오스크 SW",전공 특화 SW,2023~2025,나라장터 계약정보 API — 항공체크인시스템 SW 459만(2025)·키오스크 SW 103만(2023),나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
220,한림공업고등학교,특성화고,제주,"항공우주 AI 창의캠프·AI 진로캠프, AI모빌리티실습실",AI 교육·실습 인프라,2023~2025(4건),"나라장터 계약정보 API — 항공우주 AI 창의캠프 2,052만(2건)·AI 진로 성장 캠프 1,400만(2025)·AI모빌리티체험실 1.08억+실습실 1.59억(2023)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
221,국방항공고등학교,특성화고,충남 논산,AI·SW 코딩 캠프,AI 교육 프로그램,2025,나라장터 계약정보 API — 미래역량강화 AI·SW 코딩 캠프 600만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
222,천안상업고등학교,특성화고,충남 천안,"AI활용 콘텐츠제작 캠프, AI·SW 교구·드론",AI 교육 프로그램·교구,2024~2025,"나라장터 계약정보 API — 중기특성화고 AI활용 콘텐츠제작 캠프 402만(2025)·AI/SW 교구·드론 7,110만(2024.1)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
223,공주정보고등학교,특성화고,충남 공주,AI 활용 교과서 개발 연수(관광),AI 교육 프로그램,2025,"나라장터 계약정보 API — 'AI로 그리는 관광의 미래' 교과서 개발 학생연수 1,800만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
